dbn,beds
17K352,331700010352
16K267,331600010267
24Q264,342400011264
11X083,321100010083
07X031,320700010031
11X019,321100010019
84X407,320700860852
79K988,
10X363,321000010363
02M411,310200011411
04M108,310400010108
06M319,310600010319
25Q242,342500010242
28Q896,342800011896
08X293,320800011293
84X620,321000861121
29Q015,342900010015
84K702,331300860810
31R023,353100010023
84M353,310600860887
84K736,331800861057
31R008,353100010008
19K409,331900011409
75M226,307500011226
24Q093,342400010093
08X282,320800011282
84K780,331300860937
25Q164,342500010164
84X493,320700860981
84K793,333200860987
19K190,331900010190
05M161,310500010161
31R861,353100010861
10X051,321000010051
30Q286,343000011286
28Q217,342800010217
29Q270,342900010270
84X599,321000861130
28Q687,342800011687
84M382,310400860919
04M377,310400010377
30Q126,343000010126
14K577,331400010577
09X229,320900010229
15K010,331500010010
11X355,321100010355
09X110,320900010110
27Q253,342700010253
20K223,332000010223
11X532,321100010532
10X291,321000010291
24Q153,342400010153
22K555,332200011555
84M726,310500860858
19K065,331900010065
24Q307,342400010307
11X901,
19K502,331900011502
22K203,332200010203
02M131,310200010131
20K170,332000010170
30Q010,343000010010
06M153,310600010153
84K648,331600860918
02M500,310200011500
14K610,331400011610
29Q283,342900011283
33K891,
29Q135,342900010135
79M991,
10X077,321000010077
18K135,331800010135
13K439,331300011439
11X326,321100010326
23K697,332300011697
16K308,331600010308
07X224,320700010224
07X548,320700011548
25Q024,342500010024
31R901,
24Q331,
75Q177,307500014177
30Q235,343000010235
17K770,331700010770
10X032,321000010032
22K152,332200010152
84X586,320700861106
84X464,320800861074
18K268,331800010268
11X509,321100011509
15K462,331500011462
31R048,353100010048
24Q077,342400010077
21K099,332100010099
06M048,310600010048
02M422,310200011422
25Q379,342500010379
84K360,331600861003
21K228,332100010228
11X175,321100010175
06M018,310600010018
05M285,310500011285
27Q045,342700010045
03M307,310300011307
24Q229,342400010229
21K728,332100011728
09X109,320900010109
06M209,310600010209
11X096,321100010096
02M002,310200010002
84M329,310300860875
05M197,310500010197
10X351,321000011351
08X583,320800010583
75K771,307500013771
84X419,320900860913
84K883,331600861095
84K774,331900860933
30Q555,343000011555
11X144,321100010144
25Q163,342500010163
30Q502,343000011502
06M128,310600010128
84Q340,342700860990
08X467,320800010467
10X396,321000010396
02M297,310200010297
26Q191,342600010191
29Q116,342900010116
29Q326,342900011326
04M038,310400010038
84K406,331600860975
22K251,332200010251
02M340,310200010340
14K120,331400010120
11X103,321100010103
06M173,310600010173
75M751,307500011751
84M065,310500861001
31R470,353100011470
14K561,331400011561
75Q277,307500014277
06M223,310600010223
84K740,331900860958
31R013,353100010013
28Q144,342800010144
11X357,321100010357
29Q131,342900010131
79M331,
79K982,
27Q318,342700010318
09X204,320900010204
79Q997,
31R053,353100010053
11X153,321100010153
03M403,310300011403
07X277,320700010277
11X290,321100011290
07X161,320700010161
10X059,321000010059
31R019,353100010019
84M170,310200861043
75Q752,307500014752
24Q299,342400011299
03M243,310300010243
07X527,320700011527
84X610,320700861139
10X306,321000010306
26Q435,342600011435
84X393,320700860920
30Q212,343000010212
26Q203,342600010203
25Q130,342500010130
22K207,332200010207
28Q055,342800010055
04M372,310400010372
84K788,331900861072
22K014,332200010014
84X484,321100861076
14K157,331400010157
84X623,320700861137
30Q149,343000010149
84M357,310500861088
84M707,310200860819
03M087,310300010087
09X117,320900010117
10X374,321000011374
79Q994,
75X723,307500012723
10X903,
84X615,320700861173
20K048,332000010048
03M494,310300011494
17K528,331700011528
13K901,
05M148,310500011148
84K680,331900860993
08X072,320800010072
10X438,321000011438
11X270,321100011270
32K162,333200010162
75R405,
08X123,320800010123
21K095,332100010095
84M383,310500861171
23K156,332300010156
14K474,331400011474
84X730,320800860846
75R373,307500015373
15K131,331500010131
19K292,331900010292
29Q492,342900011492
02M519,310200011519
13K003,331300010003
84K910,331900861131
24Q239,342400010239
28Q082,342800010082
79Q975,
15K321,331500010321
06M189,310600010189
84K744,332100860949
20K506,332000010506
16K243,331600010243
17K399,331700010399
10X565,321000011565
27Q066,342700010066
05M030,310500010030
10X319,321000011319
03M250,310300010250
01M450,310100011450
79X695,
84M337,310400861061
28Q206,342800010206
28Q350,342800011350
31R041,353100010041
18K567,331800011567
26Q186,342600010186
11X181,321100010181
04M057,310400010057
27Q226,342700010226
27Q400,342700011400
03M291,310300011291
09X517,320900011517
10X254,321000010254
28Q175,342800010175
84Q374,342700861099
24Q343,342400010343
08X405,320800011405
02M006,310200010006
