mean_scale_score,total_enrollment,asian_pct,black_pct,hispanic_pct,white_pct,swd_pct,ell_pct,poverty_pct,charter,eni_pct,district
599.0640869,423,0.284,0,0.577,0.125,0.213,0.291,0.83,0,0.758,24
598.1875,540,0.022,0.17,0.754,0.043,0.157,0.304,0.904,0,0.898,6
596.321228,482,0.004,0.207,0.763,0.015,0.288,0.212,0.96,0,0.946,8
617.7000122,766,0.29,0.008,0.085,0.612,0.125,0.231,0.574,0,0.551,22
601.9447632,854,0.561,0.056,0.322,0.033,0.152,0.283,0.8,0,0.83,28
598,283,0.032,0.364,0.382,0.166,0.254,0.039,0.65,1,0.613,84
610,503,0.006,0.893,0.085,0.006,0.243,0.036,0.827,1,0.766,84
598.5681152,1614,0.576,0.006,0.298,0.114,0.152,0.279,0.908,0,0.833,20
589.0361328,611,0.025,0.863,0.039,0.062,0.182,0.146,0.869,0,0.707,18
587.2639771,328,0.04,0.238,0.646,0.043,0.22,0.207,0.915,0,0.912,12
598,491,0.008,0.391,0.389,0.198,0.22,0.081,0.723,1,0.697,84
618,326,0.052,0.316,0.577,0.034,0.107,0.046,0.543,1,0.567,84
582.7659302,313,0.022,0.38,0.54,0.013,0.339,0.093,0.96,0,0.949,4
605.4050903,757,0.065,0.131,0.16,0.58,0.215,0.021,0.18,0,0.29,3
600.609375,1709,0.083,0.019,0.878,0.017,0.142,0.191,0.903,0,0.804,30
597.928894,461,0.024,0.213,0.744,0.004,0.241,0.21,0.96,0,0.873,19
589.8204956,563,0.002,0.023,0.95,0.014,0.202,0.268,0.925,0,0.922,6
581.8536377,249,0.004,0.116,0.876,0.004,0.245,0.181,0.96,0,0.856,12
591,283,0.014,0.572,0.399,0,0.23,0.021,0.784,1,0.82,84
607,451,0.002,0.279,0.696,0.007,0.22,0.124,0.96,1,0.943,84
588.3930054,644,0.014,0.601,0.357,0.017,0.286,0.056,0.901,0,0.867,11
595.6699219,252,0,0.155,0.817,0.016,0.341,0.329,0.96,0,0.96,7
610.09198,363,0.366,0.039,0.262,0.311,0.201,0.019,0.433,0,0.389,25
613,688,0.131,0.125,0.628,0.074,0.179,0.176,0.792,1,0.69,84
607.5652466,450,0.033,0.273,0.684,0.004,0.204,0.169,0.942,0,0.877,9
591.4835205,668,0.001,0.189,0.775,0.025,0.352,0.127,0.96,0,0.935,8
593.3483887,939,0.058,0.076,0.79,0.066,0.226,0.256,0.876,0,0.86,10
595.5463257,265,0.094,0.306,0.491,0.053,0.302,0.102,0.96,0,0.837,4
599.7555542,225,0.009,0.836,0.133,0.013,0.302,0.031,0.889,0,0.881,16
588.7211304,369,0.005,0.214,0.688,0.092,0.266,0.092,0.864,0,0.849,14
616.0516968,310,0.594,0.032,0.161,0.181,0.132,0.106,0.465,0,0.382,26
605.1907349,1203,0.107,0.399,0.175,0.296,0.177,0.039,0.697,0,0.523,22
612.7457886,310,0.594,0.032,0.161,0.181,0.132,0.106,0.465,0,0.382,26
607,210,0.019,0.79,0.171,0,0.224,0.01,0.852,0,0.829,5
597,365,0.008,0.814,0.159,0.011,0.148,0.06,0.877,1,0.852,84
616.8098755,877,0.517,0.013,0.164,0.298,0.255,0.214,0.629,0,0.671,21
603.8823242,160,0.025,0.712,0.225,0.031,0.325,0.063,0.837,0,0.78,13
581.4268188,339,0.006,0.336,0.611,0.015,0.298,0.159,0.897,0,0.929,12
625.2174072,589,0.02,0.019,0.939,0.02,0.197,0.119,0.861,0,0.792,6
588.3782349,689,0.163,0.575,0.161,0.084,0.206,0.17,0.837,0,0.772,22
619.977417,671,0.171,0.024,0.061,0.727,0.168,0.033,0.124,0,0.105,2
580.875,121,0.025,0.471,0.479,0.017,0.405,0.14,0.96,0,0.96,15
605,404,0.005,0.198,0.765,0.02,0.193,0.136,0.941,1,0.846,84
587.8478394,357,0.003,0.022,0.964,0.011,0.21,0.277,0.936,0,0.904,6
608.0111084,574,0.007,0.857,0.103,0.03,0.216,0.019,0.742,0,0.808,16
580.222229,350,0.071,0.109,0.403,0.337,0.291,0.06,0.566,0,0.579,1
596.0487671,512,0.029,0.51,0.281,0.131,0.207,0.076,0.703,0,0.696,3
591.4961548,289,0,0.765,0.18,0.01,0.332,0.062,0.903,0,0.882,23
601.8372192,425,0.002,0.014,0.981,0,0.24,0.384,0.929,0,0.886,6
606.8363647,642,0.168,0.02,0.469,0.338,0.229,0.274,0.824,0,0.888,20
599.2059937,667,0.234,0.121,0.558,0.066,0.21,0.213,0.901,0,0.895,8
628.9932861,451,0.14,0.029,0.118,0.641,0.169,0,0.162,0,0.13,2
618.9483032,430,0.063,0.086,0.753,0.093,0.116,0.026,0.816,0,0.693,32
611.4918213,652,0.112,0.133,0.706,0.037,0.253,0.316,0.899,0,0.907,10
581.4418335,263,0.046,0.669,0.205,0.053,0.183,0.084,0.928,0,0.912,19
589.5606079,582,0.019,0.785,0.153,0.026,0.289,0.053,0.847,0,0.729,22
603.6629639,1205,0.078,0.168,0.568,0.178,0.18,0.055,0.64,0,0.71,14
632,788,0.126,0.201,0.378,0.256,0.178,0.029,0.472,1,0.455,84
593.107666,988,0.083,0.114,0.735,0.051,0.288,0.254,0.96,0,0.886,10
602.7831421,311,0.026,0.379,0.399,0.138,0.186,0.016,0.518,0,0.626,5
609.6220703,1412,0.309,0.057,0.571,0.058,0.172,0.096,0.822,0,0.645,27
601.3585815,757,0.034,0.754,0.049,0.009,0.12,0.008,0.654,0,0.388,29
608.3261108,425,0.002,0.014,0.981,0,0.24,0.384,0.929,0,0.886,6
598.3117065,657,0.017,0.247,0.711,0.018,0.262,0.07,0.948,0,0.933,7
596,709,0.023,0.777,0.166,0.01,0.316,0.027,0.96,1,0.759,84
600.9840088,405,0.074,0.188,0.61,0.114,0.183,0.205,0.938,0,0.866,11
599.5744629,327,0.003,0.245,0.737,0.009,0.269,0.128,0.96,0,0.929,9
585.4124756,230,0.013,0.517,0.422,0.017,0.348,0.157,0.887,0,0.91,27
608.2459717,1157,0.551,0.001,0.407,0.032,0.156,0.303,0.87,0,0.758,24
